generation,best_fitness,avg_fitness,population_diversity,species_count,avg_complexity,novelty_score,timestamp
0,16.16588276307241,9.930165275156039,1.9481599594045198,5,1.0026265816038995,0.0,1762225415.2670066
1,16.487137210065303,11.756798070933845,1.3982207529723776,5,0.9995896152062973,0.0,1762225415.269814
2,16.487137210065303,13.17552503188526,1.2095207470172324,5,1.012699012906452,0.709363480475707,1762225415.2725904
3,18.751295856184612,14.459928695820018,1.164823986340617,5,1.0131342333807125,0.6422018319673795,1762225415.2735991
4,18.751295856184612,15.772604036173176,1.0742639838892714,5,1.002599109251584,0.6563376701765788,1762225415.2746012
5,23.562248084826955,16.774355778857917,1.221463299226468,5,1.0145289028906175,0.5008758713423704,1762225415.2746012
6,23.562248084826955,17.936843509565346,1.1931007619966334,5,1.037520595102689,0.5812438653537146,1762225415.2756026
7,24.183873805855413,19.150216669319285,1.515629606579409,5,1.0552592523295137,0.6066865798769694,1762225415.2766132
8,24.183873805855413,20.47076842041651,1.7346360081367975,5,1.0544435257029876,0.6602758755486118,1762225415.2778444
9,29.123732734969586,22.2800925836013,1.9786673172702642,5,1.0651210073228146,0.9046620815923951,1762225415.2786014
10,29.923596518499092,23.840597319327156,1.7004438899075207,5,1.0629969499795706,0.7802523678629285,1762225415.2791722
11,29.923596518499092,25.268695118812612,1.9256472073123985,5,1.0743656545199634,0.7140488997427283,1762225415.2802472
12,33.66157525400216,26.746066449163344,1.9253941649825888,6,1.067692187275932,1.2386856651753657,1762225415.2812579
13,38.06072242754214,28.432842570669496,2.2271160243242782,6,1.0746784324331238,0.8433880607530764,1762225415.2822604
14,38.06072242754214,30.19183909286962,2.5331649925679924,6,1.0869347127978135,0.8794982611000624,1762225415.2822604
15,50.52184357906871,32.309504826560634,3.01915815972871,6,1.092161542272385,1.0588328668455063,1762225415.2841802
16,50.52184357906871,34.73245486952449,3.1575730872981436,5,1.0876222905879565,1.7114750214819274,1762225415.2851765
17,50.52184357906871,37.36394782535811,3.6791129388076005,5,1.032070077033209,1.3157464779168109,1762225415.286176
18,50.52184357906871,40.619420940642996,3.832662429244389,6,0.9739058184086438,2.127736557642443,1762225415.2871754
19,61.62206757088755,44.841358501585326,3.7489827806805525,6,0.9074786590575928,2.1109687804711648,1762225415.288175
20,61.62206757088755,47.92728961108076,3.14413793072506,6,0.8620337690128094,1.5429655547477168,1762225415.288175
21,61.62206757088755,50.55609675088853,3.7487407408558084,6,0.8244000405145671,1.3144035699038845,1762225415.2891748
22,65.41309421762438,53.59049933185219,3.5132789945130622,6,0.8147889978994941,1.5172012904818324,1762225415.290175
23,75.29649166068013,57.429485888143546,3.9142476293269883,6,0.7868799613712816,1.9194932781456764,1762225415.2911856
24,75.29649166068013,61.545186976723635,4.444502952161985,6,0.773034940087421,2.0578505442900443,1762225415.292175
25,83.14533320712731,66.29124781981436,5.160548985643824,7,0.7905728355247963,2.873030421545362,1762225415.2931802
26,83.14533320712731,71.25789535144266,4.815712064931339,8,0.831407102617057,2.9833237658141485,1762225415.294175
27,91.82808635098075,75.38210253924227,4.535432781491797,7,0.8565106647631836,2.5621035938998062,1762225415.2951748
28,100.99393057963978,79.4370440063491,4.995610646833172,7,0.8639065736860939,2.0274707335534146,1762225415.2961762
29,102.3732034530386,83.49871525194538,4.736088925007698,7,0.8631797935747496,2.0308356227981434,1762225415.2961762
30,109.68323575452676,88.9842855184391,5.2692550500630535,8,0.8654506181049603,3.242785133246855,1762225415.297513
31,109.68323575452676,93.96097569622988,4.6650141366498,8,0.8594011129674597,2.488345088895393,1762225415.2985175
32,117.87106627877702,98.34446429459598,4.832891254690029,8,0.8492049292859821,2.19174429918305,1762225415.2995174
33,117.87106627877702,103.20750854109137,4.631584808086164,8,0.8304983299452413,2.431522123247696,1762225415.300518
